,Country_Name,Country_Code,Year,Indicator_Name,Value
0,Kuwait,KWT,1990,Total Energy Use,4347.33958527215
1,Netherlands,NLD,1990,Total Energy Use,4394.54208972873
2,Czech Republic,CZE,1990,Total Energy Use,4796.94145802598
3,Belgium,BEL,1990,Total Energy Use,4809.86726801499
4,Palau,PLW,1990,Total Energy Use,4877.02821483104
5,Trinidad and Tobago,TTO,1990,Total Energy Use,4903.13244960983
6,Norway,NOR,1990,Total Energy Use,4966.8935768305
7,Australia,AUS,1990,Total Energy Use,5061.5084587843
8,Sweden,SWE,1990,Total Energy Use,5514.55753031809
9,Finland,FIN,1990,Total Energy Use,5691.57118588425
10,Russian Federation,RUS,1990,Total Energy Use,5941.58625640772
11,Brunei Darussalam,BRN,1990,Total Energy Use,6674.89196564546
12,Canada,CAN,1990,Total Energy Use,7630.09230606557
13,United States,USA,1990,Total Energy Use,7671.7730657832
14,Luxembourg,LUX,1990,Total Energy Use,8874.10501505827
15,Iceland,ISL,1990,Total Energy Use,8907.79198354956
16,Bahrain,BHR,1990,Total Energy Use,10555.3559294009
17,United Arab Emirates,ARE,1990,Total Energy Use,11170.2328272727
18,Qatar,QAT,1990,Total Energy Use,13703.1756863157
19,Kuwait,KWT,1991,Total Energy Use,1325.06570924882
20,Czech Republic,CZE,1991,Total Energy Use,4349.23623801459
21,Netherlands,NLD,1991,Total Energy Use,4603.73317545464
22,Trinidad and Tobago,TTO,1991,Total Energy Use,4841.41670219379
23,Australia,AUS,1991,Total Energy Use,4927.78158990974
24,Belgium,BEL,1991,Total Energy Use,5006.00470628876
25,Norway,NOR,1991,Total Energy Use,5105.10820483315
26,Sweden,SWE,1991,Total Energy Use,5650.54137715952
27,Finland,FIN,1991,Total Energy Use,5742.78422893888
28,Russian Federation,RUS,1991,Total Energy Use,5870.23385736274
29,Brunei Darussalam,BRN,1991,Total Energy Use,7335.32050126217
30,Canada,CAN,1991,Total Energy Use,7517.33030357287
31,United States,USA,1991,Total Energy Use,7631.46780588265
32,Iceland,ISL,1991,Total Energy Use,8054.3567225375
33,Luxembourg,LUX,1991,Total Energy Use,9353.42118863049
34,Bahrain,BHR,1991,Total Energy Use,10108.4133379891
35,United Arab Emirates,ARE,1991,Total Energy Use,12124.9117909268
36,Qatar,QAT,1991,Total Energy Use,14818.4563992498
37,Palau,PLW,1991,Total Energy Use,
38,Czech Republic,CZE,1992,Total Energy Use,4222.41657551713
39,Netherlands,NLD,1992,Total Energy Use,4502.54008023885
40,Australia,AUS,1992,Total Energy Use,4959.21491854816
41,Belgium,BEL,1992,Total Energy Use,5040.67044042513
42,Norway,NOR,1992,Total Energy Use,5159.64861896962
43,Trinidad and Tobago,TTO,1992,Total Energy Use,5289.71079943559
44,Russian Federation,RUS,1992,Total Energy Use,5356.50974005023
45,Sweden,SWE,1992,Total Energy Use,5369.37035673582
46,Finland,FIN,1992,Total Energy Use,5380.99306781923
47,Canada,CAN,1992,Total Energy Use,7601.68517694524
48,Brunei Darussalam,BRN,1992,Total Energy Use,7666.16281107606
49,United States,USA,1992,Total Energy Use,7677.40140109312
50,Iceland,ISL,1992,Total Energy Use,7755.39441577893
51,Luxembourg,LUX,1992,Total Energy Use,9262.08197870848
52,Bahrain,BHR,1992,Total Energy Use,10837.8303975285
53,United Arab Emirates,ARE,1992,Total Energy Use,10890.4623331378
54,Qatar,QAT,1992,Total Energy Use,15242.9537164692
55,Kuwait,KWT,1992,Total Energy Use,
56,Palau,PLW,1992,Total Energy Use,
57,Czech Republic,CZE,1993,Total Energy Use,4089.40851541479
58,Netherlands,NLD,1993,Total Energy Use,4510.5821521104
59,Belgium,BEL,1993,Total Energy Use,4902.26997439133
60,Trinidad and Tobago,TTO,1993,Total Energy Use,5034.23997169519
61,Russian Federation,RUS,1993,Total Energy Use,5059.864624912
62,Australia,AUS,1993,Total Energy Use,5147.53665025188
63,Sweden,SWE,1993,Total Energy Use,5334.16649834761
64,Norway,NOR,1993,Total Energy Use,5459.62340830489
65,Finland,FIN,1993,Total Energy Use,5617.21537795619
66,Brunei Darussalam,BRN,1993,Total Energy Use,7175.54067678675
67,United States,USA,1993,Total Energy Use,7709.49658932206
68,Canada,CAN,1993,Total Energy Use,7770.54644758451
69,Iceland,ISL,1993,Total Energy Use,8249.53644895251
70,Luxembourg,LUX,1993,Total Energy Use,9266.94257500472
71,United Arab Emirates,ARE,1993,Total Energy Use,10820.1137987286
72,Bahrain,BHR,1993,Total Energy Use,11142.3821175207
73,Qatar,QAT,1993,Total Energy Use,15624.7081134006
74,Kuwait,KWT,1993,Total Energy Use,
75,Palau,PLW,1993,Total Energy Use,
76,Czech Republic,CZE,1994,Total Energy Use,3963.3140941282
77,Russian Federation,RUS,1994,Total Energy Use,4426.66819542613
78,Netherlands,NLD,1994,Total Energy Use,4511.79496267204
79,Trinidad and Tobago,TTO,1994,Total Energy Use,5039.53576033171
80,Australia,AUS,1994,Total Energy Use,5089.788966676
81,Belgium,BEL,1994,Total Energy Use,5186.18662673891
82,Norway,NOR,1994,Total Energy Use,5315.24486967133
83,Sweden,SWE,1994,Total Energy Use,5660.27142343844
84,Finland,FIN,1994,Total Energy Use,5972.55427268616
85,Brunei Darussalam,BRN,1994,Total Energy Use,6479.12952752097
86,United States,USA,1994,Total Energy Use,7757.83082249569
87,Canada,CAN,1994,Total Energy Use,7957.24563262571
88,Iceland,ISL,1994,Total Energy Use,8293.41292604719
89,Luxembourg,LUX,1994,Total Energy Use,8823.25246633989
90,United Arab Emirates,ARE,1994,Total Energy Use,11355.4642502082
91,Bahrain,BHR,1994,Total Energy Use,11555.4940955985
92,Qatar,QAT,1994,Total Energy Use,15511.060184126
93,Kuwait,KWT,1994,Total Energy Use,
94,Palau,PLW,1994,Total Energy Use,
95,Czech Republic,CZE,1995,Total Energy Use,4019.8048793808
96,Russian Federation,RUS,1995,Total Energy Use,4290.69346739168
97,Netherlands,NLD,1995,Total Energy Use,4780.41259573869
98,Trinidad and Tobago,TTO,1995,Total Energy Use,4903.03380641046
99,Australia,AUS,1995,Total Energy Use,5129.22366091191
100,Belgium,BEL,1995,Total Energy Use,5267.67067078591
101,Norway,NOR,1995,Total Energy Use,5391.41408116749
102,Finland,FIN,1995,Total Energy Use,5661.9038762361
103,Sweden,SWE,1995,Total Energy Use,5702.16504271753
104,Brunei Darussalam,BRN,1995,Total Energy Use,7562.82142760979
105,Luxembourg,LUX,1995,Total Energy Use,7705.40715815234
106,United States,USA,1995,Total Energy Use,7763.75510556636
107,Canada,CAN,1995,Total Energy Use,7979.89844555264
108,Iceland,ISL,1995,Total Energy Use,8255.76891441219
109,Kuwait,KWT,1995,Total Energy Use,9210.97921610654
110,Bahrain,BHR,1995,Total Energy Use,11408.539679048
111,United Arab Emirates,ARE,1995,Total Energy Use,11463.1826687022
112,Qatar,QAT,1995,Total Energy Use,15871.0869865828
113,Palau,PLW,1995,Total Energy Use,
114,Czech Republic,CZE,1996,Total Energy Use,4152.93825902856
115,Russian Federation,RUS,1996,Total Energy Use,4252.61161860894
116,Netherlands,NLD,1996,Total Energy Use,5014.98883036462
117,Norway,NOR,1996,Total Energy Use,5202.04727507774
118,Australia,AUS,1996,Total Energy Use,5393.58063459123
119,Belgium,BEL,1996,Total Energy Use,5536.47127489148
120,Trinidad and Tobago,TTO,1996,Total Energy Use,5783.01725502108
