,Country_Name,Country_Code,Year,Region,Income_Group,Indicator_Name,Value
0,China,CHN,2014,East Asia & Pacific,Upper middle income,Net Energy Use,3068480290998.459
1,China,CHN,2013,East Asia & Pacific,Upper middle income,Net Energy Use,3017885264654.999
2,China,CHN,2012,East Asia & Pacific,Upper middle income,Net Energy Use,2918502603933.207
3,China,CHN,2011,East Asia & Pacific,Upper middle income,Net Energy Use,2806397912647.939
4,China,CHN,2010,East Asia & Pacific,Upper middle income,Net Energy Use,2614842136999.9985
5,China,CHN,2009,East Asia & Pacific,Upper middle income,Net Energy Use,2367557406000.005
6,United States,USA,2007,North America,High income,Net Energy Use,2337001703999.9985
7,United States,USA,2005,North America,High income,Net Energy Use,2318770901999.9995
8,United States,USA,2004,North America,High income,Net Energy Use,2307767982999.9995
9,United States,USA,2006,North America,High income,Net Energy Use,2296824885999.9995
10,United States,USA,2008,North America,High income,Net Energy Use,2277080528999.999
11,United States,USA,2000,North America,High income,Net Energy Use,2273344128999.9995
12,United States,USA,2003,North America,High income,Net Energy Use,2261169558999.9985
13,United States,USA,2002,North America,High income,Net Energy Use,2255943576000.0005
14,United States,USA,2001,North America,High income,Net Energy Use,2230704586000.0005
15,United States,USA,2014,North America,High income,Net Energy Use,2216186624999.9985
16,China,CHN,2008,East Asia & Pacific,Upper middle income,Net Energy Use,2216020806999.995
17,United States,USA,2010,North America,High income,Net Energy Use,2215223614999.999
18,United States,USA,1999,North America,High income,Net Energy Use,2210896394999.9995
19,United States,USA,2011,North America,High income,Net Energy Use,2190417726000.0
20,United States,USA,2013,North America,High income,Net Energy Use,2182583137999.999
21,United States,USA,2009,North America,High income,Net Energy Use,2164820310999.9993
22,United States,USA,2012,North America,High income,Net Energy Use,2156975857000.0005
23,United States,USA,1998,North America,High income,Net Energy Use,2152681198999.9993
24,China,CHN,2007,East Asia & Pacific,Upper middle income,Net Energy Use,2148377945999.995
25,United States,USA,1997,North America,High income,Net Energy Use,2134517436000.0005
26,United States,USA,1996,North America,High income,Net Energy Use,2113252683999.999
27,United States,USA,1995,North America,High income,Net Energy Use,2067317181999.9993
28,United States,USA,1994,North America,High income,Net Energy Use,2041286993000.001
29,United States,USA,1993,North America,High income,Net Energy Use,2003844644000.0005
30,China,CHN,2006,East Asia & Pacific,Upper middle income,Net Energy Use,1986422995000.0032
31,United States,USA,1992,North America,High income,Net Energy Use,1969360943000.0005
32,United States,USA,1991,North America,High income,Net Energy Use,1930616356999.9988
33,United States,USA,1990,North America,High income,Net Energy Use,1915051007999.9998
34,China,CHN,2005,East Asia & Pacific,Upper middle income,Net Energy Use,1816983252999.9963
35,China,CHN,2004,East Asia & Pacific,Upper middle income,Net Energy Use,1643595353999.9956
36,China,CHN,2003,East Asia & Pacific,Upper middle income,Net Energy Use,1440987495999.994
37,China,CHN,2002,East Asia & Pacific,Upper middle income,Net Energy Use,1260951638999.9998
38,China,CHN,2001,East Asia & Pacific,Upper middle income,Net Energy Use,1181308821999.9995
39,China,CHN,2000,East Asia & Pacific,Upper middle income,Net Energy Use,1135101836000.0
40,China,CHN,1999,East Asia & Pacific,Upper middle income,Net Energy Use,1100558433999.9995
41,China,CHN,1998,East Asia & Pacific,Upper middle income,Net Energy Use,1079686881999.9996
42,China,CHN,1996,East Asia & Pacific,Upper middle income,Net Energy Use,1073457507999.9995
43,China,CHN,1997,East Asia & Pacific,Upper middle income,Net Energy Use,1072325659999.9998
44,China,CHN,1995,East Asia & Pacific,Upper middle income,Net Energy Use,1044409729999.9998
45,China,CHN,1994,East Asia & Pacific,Upper middle income,Net Energy Use,972731497999.9999
46,China,CHN,1993,East Asia & Pacific,Upper middle income,Net Energy Use,928762412999.9998
47,Russian Federation,RUS,1990,Europe & Central Asia,Upper middle income,Net Energy Use,879172995000.0002
48,China,CHN,1992,East Asia & Pacific,Upper middle income,Net Energy Use,876789812999.9998
49,Russian Federation,RUS,1991,Europe & Central Asia,Upper middle income,Net Energy Use,871108750999.9996
50,China,CHN,1990,East Asia & Pacific,Upper middle income,Net Energy Use,870681592999.9999
51,China,CHN,1991,East Asia & Pacific,Upper middle income,Net Energy Use,847954315999.9995
52,India,IND,2014,South Asia,Lower middle income,Net Energy Use,824742957000.0001
53,Russian Federation,RUS,1992,Europe & Central Asia,Upper middle income,Net Energy Use,795646298999.9999
54,India,IND,2013,South Asia,Lower middle income,Net Energy Use,775926519000.0004
55,India,IND,2012,South Asia,Lower middle income,Net Energy Use,758399345999.9998
56,Russian Federation,RUS,1993,Europe & Central Asia,Upper middle income,Net Energy Use,751181313999.9993
57,Russian Federation,RUS,2012,Europe & Central Asia,Upper middle income,Net Energy Use,739924775000.0005
58,Russian Federation,RUS,2013,Europe & Central Asia,Upper middle income,Net Energy Use,728818405000.0004
59,India,IND,2011,South Asia,Lower middle income,Net Energy Use,722659460000.0004
60,Russian Federation,RUS,2011,Europe & Central Asia,Upper middle income,Net Energy Use,721870615999.9996
61,Russian Federation,RUS,2014,Europe & Central Asia,Upper middle income,Net Energy Use,710882706000.0005
62,India,IND,2010,South Asia,Lower middle income,Net Energy Use,693238219000.0001
63,Russian Federation,RUS,2008,Europe & Central Asia,Upper middle income,Net Energy Use,688464415999.9998
64,Russian Federation,RUS,2010,Europe & Central Asia,Upper middle income,Net Energy Use,688397412000.0
65,Russian Federation,RUS,2007,Europe & Central Asia,Upper middle income,Net Energy Use,672589936000.0001
66,Russian Federation,RUS,2006,Europe & Central Asia,Upper middle income,Net Energy Use,670672634000.0004
67,India,IND,2009,South Asia,Lower middle income,Net Energy Use,663206085999.9996
68,Russian Federation,RUS,1994,Europe & Central Asia,Upper middle income,Net Energy Use,656952584000.0
69,Russian Federation,RUS,2005,Europe & Central Asia,Upper middle income,Net Energy Use,651705753000.0007
70,Russian Federation,RUS,2004,Europe & Central Asia,Upper middle income,Net Energy Use,647393456000.0001
71,Russian Federation,RUS,2009,Europe & Central Asia,Upper middle income,Net Energy Use,647001318999.9999
72,Russian Federation,RUS,2003,Europe & Central Asia,Upper middle income,Net Energy Use,645321648999.9995
73,Russian Federation,RUS,1995,Europe & Central Asia,Upper middle income,Net Energy Use,636635019999.9994
74,Russian Federation,RUS,1996,Europe & Central Asia,Upper middle income,Net Energy Use,630067485999.9994
75,Russian Federation,RUS,2001,Europe & Central Asia,Upper middle income,Net Energy Use,626003010000.0004
76,Russian Federation,RUS,2002,Europe & Central Asia,Upper middle income,Net Energy Use,623102427000.0001
77,Russian Federation,RUS,2000,Europe & Central Asia,Upper middle income,Net Energy Use,619265811000.0002
78,Russian Federation,RUS,1999,Europe & Central Asia,Upper middle income,Net Energy Use,608990892999.9995
79,India,IND,2008,South Asia,Lower middle income,Net Energy Use,602207489000.0002
80,Russian Federation,RUS,1997,Europe & Central Asia,Upper middle income,Net Energy Use,601969264999.9996
81,Russian Federation,RUS,1998,Europe & Central Asia,Upper middle income,Net Energy Use,587951147999.9999
82,India,IND,2007,South Asia,Lower middle income,Net Energy Use,573974474999.9998
83,India,IND,2006,South Asia,Lower middle income,Net Energy Use,543277752999.9995
84,Japan,JPN,2004,East Asia & Pacific,High income,Net Energy Use,521036257000.00055
85,Japan,JPN,2005,East Asia & Pacific,High income,Net Energy Use,519139021999.9995
86,Japan,JPN,2006,East Asia & Pacific,High income,Net Energy Use,518305213000.0004
87,Japan,JPN,2000,East Asia & Pacific,High income,Net Energy Use,518005464000.0005
88,India,IND,2005,South Asia,Lower middle income,Net Energy Use,516155760999.99945
89,Japan,JPN,2007,East Asia & Pacific,High income,Net Energy Use,513623755999.99976
90,Japan,JPN,2001,East Asia & Pacific,High income,Net Energy Use,509647272000.0
91,Japan,JPN,1997,East Asia & Pacific,High income,Net Energy Use,509417473000.00006
92,Japan,JPN,2002,East Asia & Pacific,High income,Net Energy Use,508757581000.0002
93,Japan,JPN,1999,East Asia & Pacific,High income,Net Energy Use,507945404999.9999
94,Japan,JPN,2003,East Asia & Pacific,High income,Net Energy Use,504892818999.9997
95,Japan,JPN,1996,East Asia & Pacific,High income,Net Energy Use,504093946000.00037
96,Japan,JPN,1998,East Asia & Pacific,High income,Net Energy Use,499991332000.0002
97,Japan,JPN,2010,East Asia & Pacific,High income,Net Energy Use,498610654000.0003
98,India,IND,2004,South Asia,Lower middle income,Net Energy Use,496698832000.0001
99,Japan,JPN,2008,East Asia & Pacific,High income,Net Energy Use,494122700000.0004
100,Japan,JPN,1995,East Asia & Pacific,High income,Net Energy Use,493727245999.9998
101,Japan,JPN,1994,East Asia & Pacific,High income,Net Energy Use,481220117999.99994
