,Country_Name,Country_Code,Year,Energy_Intensity,Energy_Imports,Energy_Use_PerCapita,Energy_Use_FF_Perc,Energy_Use_RNEW_Perc,Natural_Resc_Depl,Cooling_Degree_Days,Total_Population,Region,Income_Group,Energy_Use_Net,Energy_Use_FF_Net,Energy_Use_RNEW_Net,Energy_Use_FF_perCapita,Energy_Use_RNEW_perCapita
2410,China,CHN,2014,7.10422000054532,15.0218007401139,2236.72990756962,87.6704307681854,12.0614004135132,1.42491859417836,,1371860000.0,East Asia & Pacific,Upper middle income,3068480290998.459,2690149889155.218,370101694507.05914,1960.950745087121,269.78095032077556
2409,China,CHN,2013,7.85133380344517,14.7564514134368,2213.75932679132,88.2374925685652,11.5220003128052,1.87698225944517,,1363240000.0,East Asia & Pacific,Upper middle income,3017885264654.999,2662906286127.7793,347720749633.65106,1953.36572146341,255.06935655765017
2408,China,CHN,2012,8.19029944077663,14.3597403782927,2155.16478775741,88.4191622067537,11.5367002487183,2.51298521430671,,1354190000.0,East Asia & Pacific,Upper middle income,2918502603933.207,2580515551380.0327,336698897166.8124,1905.5786495100633,248.63490142949834
2407,China,CHN,2011,8.50231950127344,11.8601232108012,2086.48690379651,88.8983629317114,11.3381996154785,4.89507421367918,,1345035000.0,East Asia & Pacific,Upper middle income,2806397912647.939,2494841801693.738,318194997340.64526,1854.8527002596497,236.57005010326512
2406,China,CHN,2010,8.67917853685099,11.4464132180229,1954.72255616896,88.2551986732039,12.2613000869751,3.90643215993869,,1337705000.0,East Asia & Pacific,Upper middle income,2614842136999.9985,2307734122999.9995,320613641218.2424,1725.1442754568454,239.67439847966656
2405,China,CHN,2009,8.69387284061915,10.3609956987037,1778.43351862146,87.635694692845,13.4319000244141,2.33384410143017,,1331260000.0,East Asia & Pacific,Upper middle income,2367557406000.005,2074825380000.005,318007943794.5325,1558.5425686943233,238.87741222190442
14183,United States,USA,2007,6.36757144746924,28.585606884949,7758.16598577052,85.614705182945,6.30420017242432,0.610263393991212,,301231207.0,North America,High income,2337001703999.9985,2000817118999.9998,147329265453.1272,6642.130936320949,489.09031345191005
14181,United States,USA,2005,6.60173784003223,29.6591792835944,7846.49968849973,86.018535392161,5.84119987487793,0.790159065764133,,295516599.0,North America,High income,2318770901999.9995,1994572769000.0002,135444043026.3298,6749.444111597943,458.32972998694333
14180,United States,USA,2004,6.79020605854096,28.6955706933386,7881.57864206405,86.1243128703203,5.47770023345947,0.717185731601973,,292805298.0,North America,High income,2307767982999.9995,1987549317999.9998,126412612192.49387,6787.955448811584,431.72925167663414
14182,United States,USA,2006,6.3694074043804,27.9721234263917,7697.65253500041,85.626472526822,6.39669990539551,0.646259456048348,,298379912.0,North America,High income,2296824885999.9995,1966690130000.0002,146920995309.8625,6591.228333092344,492.3957324240463
14184,United States,USA,2008,6.22245169027002,25.2640713700468,7488.08192070473,84.968221692611,6.84560012817383,1.00788368565591,,304093966.0,North America,High income,2277080528999.999,1934794831999.9985,155879827611.84525,6362.490046908718,512.6041455615243
14176,United States,USA,2000,7.3353713960741,26.6594195867123,8056.86384994775,85.8808305392289,5.42969989776611,0.679954010770387,,282162411.0,North America,High income,2273344128999.9995,1952366818999.9988,123435763848.18483,6919.30158975002,437.46352822376764
14179,United States,USA,2003,6.90496749066525,27.726180617665,7794.23553026383,86.2783854149701,5.32630014419556,0.512601829047973,,290107933.0,North America,High income,2261169558999.9985,1950900586999.9985,120436677481.52303,6724.740570951566,415.144378287384
14178,United States,USA,2002,7.08236787119647,26.60412855113,7843.34484914192,86.2490843609645,4.8407998085022,0.347949022194434,,287625193.0,North America,High income,2255943576000.0005,1945730677999.9998,109205712306.9257,6764.813115657778,379.6806224374293
14177,United States,USA,2001,7.12821680868542,24.3005371666905,7827.88632537183,86.3459809106252,4.67869997024536,0.550074877113975,,284968955.0,North America,High income,2230704586000.0005,1926123756000.0012,104367974801.44391,6759.065232211001,366.24331517601246
14190,United States,USA,2014,5.62114571317303,9.21446550107214,6960.68399657951,83.0890424221381,9.22049999237061,0.30468163865376,,318386329.0,North America,High income,2216186624999.9985,1841408244999.9998,204343487589.04337,5783.5656787889275,641.809867373556
2404,China,CHN,2008,8.88879012128668,8.43554507293036,1672.90411994066,87.2240518182102,14.1378002166748,5.72330210499503,,1324655000.0,East Asia & Pacific,Upper middle income,2216020806999.995,1932903136999.9956,313296594453.60394,1459.1747564460145,236.51184229373226
14186,United States,USA,2010,6.0724792214272,22.2092008982127,7161.42655156518,84.1505880660269,7.43569993972778,0.361022397868023,,309327143.0,North America,High income,2215223614999.999,1864123698999.9988,164717381005.39047,6026.38255705869,532.5021897783813
14175,United States,USA,1999,7.42580269733143,24.4574111759769,7923.22389263188,85.7846010464005,5.70972659311957,0.361580479583199,,279040000.0,North America,High income,2210896394999.9995,1896608652000.0002,126236139411.63687,6796.906006307341,452.39442163000604
14187,United States,USA,2011,5.90983674958677,18.554976759716,7029.95460147645,83.714052768764,8.3641996383667,0.494761237725007,,311583481.0,North America,High income,2190417726000.0,1833687451000.0007,183210911516.81207,5885.059904700149,587.9994373540363
14189,United States,USA,2013,5.67603563128095,13.9434315101907,6905.59863316056,82.9405096870129,9.08329963684082,0.358947591535328,,316059947.0,North America,High income,2182583137999.999,1810245578999.9993,198250566247.70288,5727.538703282766,627.2562155675578
14185,United States,USA,2009,6.08456327076516,22.1249837026312,7056.78365282718,84.1542537153329,7.35440015792847,0.355313109510008,,306771529.0,North America,High income,2164820310999.9993,1821788376999.998,159209548371.05154,5938.583619342322,518.9841081081926
14188,United States,USA,2012,5.69299524637643,15.6917290892051,6872.02728367462,83.4371776188128,8.72809982299805,0.334642148237206,,313877662.0,North America,High income,2156975857000.0005,1799719777000.0,188263005956.92773,5733.825610692869,599.7974011827822
14174,United States,USA,1998,7.56902635840737,21.5698941494774,7803.69760452993,86.0865943299391,4.5342968895809,0.2485220028963,,275854000.0,North America,High income,2152681198999.9993,1853169930999.9985,97608956648.8498,6717.937499546856,353.8428177544998
2403,China,CHN,2007,9.44675565223316,8.42170830960485,1630.17102857988,87.4078573323802,14.8837003707886,3.97241342543829,,1317885000.0,East Asia & Pacific,Upper middle income,2148377945999.995,1877851129999.9958,319758136314.7418,1424.8975669348965,242.62977142523192
14173,United States,USA,1997,7.83913386346723,21.5098249494927,7828.58109639584,86.4564944223768,4.51426029882715,0.448411777394244,,272657000.0,North America,High income,2134517436000.0005,1845428948000.001,96357673184.89124,6768.316778956714,353.4025283960846
14172,United States,USA,1996,8.10927770625647,20.5835348178363,7844.46826581141,85.5100613230784,4.76393045060593,0.614415484517489,,269394000.0,North America,High income,2113252683999.999,1807043665999.9993,100673888111.32306,6707.809624564762,373.70501240310864
14171,United States,USA,1995,8.2341349169744,19.7408464242136,7763.75510556636,85.4693359772985,4.72655433519206,0.454805001772721,,266278000.0,North America,High income,2067317181999.9993,1766922267999.9988,97712869887.99129,6635.629935631178,366.95810351584163
14170,United States,USA,1994,8.35152168582419,18.7960037621226,7757.83082249569,85.9121290643525,4.08864139839829,0.515169023733134,,263126000.0,North America,High income,2041286993000.001,1753713116000.001,83460905055.91765,6664.917628816616,317.18988262626135
14169,United States,USA,1993,8.52935320875437,20.287092675434,7709.49658932206,86.1179647916857,4.28152840674077,0.635574375396356,,259919000.0,North America,High income,2003844644000.0005,1725670225000.0,85795177659.81346,6639.261558408582,330.08428648853476
2402,China,CHN,2006,9.97448941321124,7.85807370297785,1515.1736777471,86.8283422182192,16.3850994110107,3.55736248000507,,1311020000.0,East Asia & Pacific,Upper middle income,1986422995000.0032,1724778156000.0022,325477382453.9266,1315.6001861146299,248.26271334832927
14168,United States,USA,1992,8.61274699225872,16.3385296201642,7677.40140109312,85.5748223295601,4.76308310810846,0.653769525919029,,256514000.0,North America,High income,1969360943000.0005,1685277128000.0,93802298413.71849,6569.922608512596,365.68100927714863
14167,United States,USA,1991,8.74349537733587,14.9427076463954,7631.46780588265,85.6947378489449,4.50791959377071,0.606538160615454,,252981000.0,North America,High income,1930616356999.9988,1654436625999.999,87030633037.74522,6539.766330277764,344.0204325136877
14166,United States,USA,1990,8.66657670426795,13.7096309133924,7671.7730657832,86.4378383178815,4.17546218583434,0.855081394752475,,249623000.0,North America,High income,1915051007999.9998,1655328693999.9998,79962230678.47935,6631.314798716463,320.33198334480136
2401,China,CHN,2005,10.2813087845064,6.05619214257007,1393.69132405731,85.8727359992899,17.4407997131348,3.21671531143337,,1303720000.0,East Asia & Pacific,Upper middle income,1816983252999.9963,1560293231999.9966,316896409976.9307,1196.8008713527418,243.07091244817195
2400,China,CHN,2004,10.3559973757278,4.89483848954711,1268.13290434581,84.7964546509664,20.1608009338379,2.82275499137393,,1296075000.0,East Asia & Pacific,Upper middle income,1643595353999.9956,1393710588999.9968,331361987477.74744,1075.3317431475778,255.66575042165576
2399,China,CHN,2003,9.9942099834131,3.08954304763794,1118.43177274138,83.2297577410762,23.8414993286133,1.27621894079037,,1288400000.0,East Asia & Pacific,Upper middle income,1440987495999.994,1199330401999.995,343553024184.2401,930.8680549518745,266.6509035891339
2398,China,CHN,2002,9.62184205654561,1.50054263897109,984.810714620431,81.202125230752,26.9783992767334,1.22946058252576,,1280400000.0,East Asia & Pacific,Upper middle income,1260951638999.9998,1023919528999.9996,340184567855.93384,799.6872297719461,265.68616671035136
2397,China,CHN,2001,9.83358330647969,-0.673828879608587,928.811433738255,80.1974022674318,28.3349990844727,1.55753520771586,,1271850000.0,East Asia & Pacific,Upper middle income,1181308821999.9995,947378987999.9995,334723843898.49506,744.8826418209692,263.1787112462123
2396,China,CHN,2000,10.2330505139265,0.548408768497482,898.987313140273,79.8413558376096,29.6030006408691,1.79685376564302,,1262645000.0,East Asia & Pacific,Upper middle income,1135101836000.0,906280695999.9996,336024203785.5969,717.7636596192912,266.12722007024695
2395,China,CHN,1999,10.7579613765602,2.25533921990733,878.52453551629,79.4000083961012,30.506048980242,1.05987144562076,,1252735000.0,East Asia & Pacific,Upper middle income,1100558433999.9995,873843488999.9995,335736894932.2242,697.5485549617433,268.0031251080429
2394,China,CHN,1998,11.3579595075545,-0.0712441739196679,869.358607334522,78.9940358838221,29.7399014806871,0.780834173403955,,1241935000.0,East Asia & Pacific,Upper middle income,1079686881999.9996,852888242999.9996,321097815006.7023,686.7414502369284,258.54639333516025
2392,China,CHN,1996,13.3030465045035,-1.63710522950669,881.653737423514,78.9858756104578,30.5371754582264,1.67030186163964,,1217550000.0,East Asia & Pacific,Upper middle income,1073457507999.9995,847879811999.9996,327803602687.46454,696.3819243562889,269.23214873102916
2393,China,CHN,1997,12.1664364132538,-0.695494594431339,871.756323801394,78.9351141704471,30.1834816771978,1.34157341595796,,1230075000.0,East Asia & Pacific,Upper middle income,1072325659999.9998,846441484000.0001,323665219105.9903,688.1218494807229,263.1264102644069
2391,China,CHN,1995,14.2276292342512,-1.91875711460482,866.834374260803,78.4278583846591,29.4721113943924,1.73601928350328,,1204855000.0,East Asia & Pacific,Upper middle income,1044409729999.9998,819108184000.0004,307809599039.47284,679.8396354748085,255.47439238702816
2390,China,CHN,1994,14.7079958674348,-1.36990783452558,816.162889997357,77.0450401308995,31.2494841669185,1.79196317618681,,1191835000.0,East Asia & Pacific,Upper middle income,972731497999.9999,749441372999.9996,303973575454.1391,628.8130261319727,255.04669308598852
2389,China,CHN,1993,15.8797456205743,-0.442131049073803,788.128723566749,76.4687872871531,31.6777918019623,2.35738530274736,,1178440000.0,East Asia & Pacific,Upper middle income,928762412999.9998,710213354000.0004,294211423525.0212,602.6724771732122,249.66177618293776
11190,Russian Federation,RUS,1990,12.0268022546511,-47.0788556238582,5941.58625640772,93.3961505494149,3.75193925800565,,,147969407.0,Europe & Central Asia,Upper middle income,879172995000.0002,821113734000.0001,32986036745.189056,5549.212845057898,222.92470730242945
2388,China,CHN,1992,17.0805466608847,-3.09775633764121,752.628662540666,75.4319836058588,32.9312779040239,2.86810359983459,,1164970000.0,East Asia & Pacific,Upper middle income,876789812999.9998,661379947999.9999,288738089953.2014,567.7227293406696,247.85023644660498
11191,Russian Federation,RUS,1991,12.5498703630862,-39.8051831762622,5870.23385736274,93.3848776132889,3.76696178427262,,,148394216.0,Europe & Central Asia,Upper middle income,871108750999.9996,813483840999.9993,32814333749.624523,5481.910703312042,221.12946605428692
2386,China,CHN,1990,21.1794428300169,-1.1661638515884,766.995329395649,75.709160650649,34.083614045282,5.13309269540894,,1135185000.0,East Asia & Pacific,Upper middle income,870681592999.9999,659185725999.9998,296759753721.433,580.6857261151264,261.4197278165524
2387,China,CHN,1991,18.877110712943,-4.56586389967736,736.851801386885,74.8319675985941,33.2584735412724,3.25021148879121,,1150780000.0,East Asia & Pacific,Upper middle income,847954315999.9995,634540898999.9999,282016661828.93726,551.4007012634908,245.0656614026462
6006,India,IND,2014,4.96014949895526,34.3055237512019,636.57183398644,73.5769790878008,36.0537986755371,1.35187530765946,,1295600768.0,South Asia,Lower middle income,824742957000.0001,606820953000.0,297351165307.45154,468.3703251710329,229.50832745064534
11192,Russian Federation,RUS,1992,13.4115404021073,-43.1199493331647,5356.50974005023,92.5709504242915,3.98054874944438,3.28274664420945,,148538197.0,Europe & Central Asia,Upper middle income,795646298999.9999,736537341000.0,31671088804.84499,4958.571975934244,213.21848147143584
6005,India,IND,2013,4.98862544005017,32.4755540414775,605.794037758373,72.2854586440549,38.1828994750977,1.74267038872909,,1280842119.0,South Asia,Lower middle income,775926519000.0004,560882043000.0001,296271242750.395,437.900998631979,231.30972846341493
6004,India,IND,2012,5.19964331645046,31.4965222820749,599.155619780044,72.419079459491,39.3460998535156,1.87542810967927,,1265780243.0,South Asia,Lower middle income,758399345999.9998,549225824999.99994,298400563965.56915,433.9029843745159,235.74436843660638
11193,Russian Federation,RUS,1993,13.8638226073984,-40.7722588796984,5059.864624912,92.3974719637395,4.03809588570318,2.88921402500849,,148458777.0,Europe & Central Asia,Upper middle income,751181313999.9993,694072543999.9994,30333421734.805058,4675.186998206238,204.32218524072215
11212,Russian Federation,RUS,2012,8.6952514655636,-77.8561096295228,5167.01035317865,90.8658094331278,3.24429988861084,8.49797573492655,,143201721.0,Europe & Central Asia,Upper middle income,739924775000.0005,672338636000.0001,24005378651.129025,4695.045780909295,167.6333111326855
11213,Russian Federation,RUS,2013,8.45653708174425,-83.8412398490403,5078.62634152433,89.5118016400807,3.6068000793457,7.56121980701153,,143506995.0,Europe & Central Asia,Upper middle income,728818405000.0004,652378485000.0004,26287022809.82608,4545.969936866146,183.17589891577117
6003,India,IND,2011,5.23298571103505,29.3820419925036,577.994426290311,71.4717185048681,40.5772018432617,2.48134536083677,,1250287939.0,South Asia,Lower middle income,722659460000.0004,516497135000.00006,293234987723.6252,413.1025493320384,234.53396499862197
11211,Russian Federation,RUS,2011,8.78151747749434,-80.0042989975367,5049.42663067025,90.9083156253586,3.22709989547729,9.37735260918957,,142960908.0,Europe & Central Asia,Upper middle income,721870615999.9996,656240418000.0,23295485894.417255,4590.348698680621,162.9500415205621
11214,Russian Federation,RUS,2014,8.3456060235021,-83.6705407206797,4942.87548308675,92.1428758178287,3.29609990119934,7.3124678827508,,143819667.0,Europe & Central Asia,Upper middle income,710882706000.0005,655027769000.0007,23431404170.109207,4554.507618210525,162.92211391442876
6002,India,IND,2010,5.35317924225662,28.3476087460204,561.653405869891,71.4046951586205,41.1128005981445,2.14555221091547,,1234281163.0,South Asia,Lower middle income,693238219000.0001,495004637000.00006,285009646647.5984,401.0469023094052,230.91144480797553
