Country_Name,Country_Code,Year,EG.EGY.PRIM.PP.KD,EG.IMP.CONS.ZS,EG.USE.PCAP.KG.OE,EG.USE.COMM.FO.ZS,EG.FEC.RNEW.ZS,NY.ADJ.DRES.GN.ZS,EN.CLC.CDDY.XD,totalPopulation,Region,Income_Group
Afghanistan,AFG,1960,,,,,,,,8996967.0,South Asia,Low income
Afghanistan,AFG,1961,,,,,,,,9169406.0,South Asia,Low income
Afghanistan,AFG,1962,,,,,,,,9351442.0,South Asia,Low income
Afghanistan,AFG,1963,,,,,,,,9543200.0,South Asia,Low income
Afghanistan,AFG,1964,,,,,,,,9744772.0,South Asia,Low income
Afghanistan,AFG,1965,,,,,,,,9956318.0,South Asia,Low income
Afghanistan,AFG,1966,,,,,,,,10174840.0,South Asia,Low income
Afghanistan,AFG,1967,,,,,,,,10399936.0,South Asia,Low income
Afghanistan,AFG,1968,,,,,,,,10637064.0,South Asia,Low income
Afghanistan,AFG,1969,,,,,,,,10893772.0,South Asia,Low income
Afghanistan,AFG,1970,,,,,,0.0874017330842334,,11173654.0,South Asia,Low income
Afghanistan,AFG,1971,,,,,,0.116802589691193,,11475450.0,South Asia,Low income
Afghanistan,AFG,1972,,,,,,0.14737131060232,,11791222.0,South Asia,Low income
Afghanistan,AFG,1973,,,,,,0.308740440050931,,12108963.0,South Asia,Low income
Afghanistan,AFG,1974,,,,,,0.458520805454307,,12412960.0,South Asia,Low income
Afghanistan,AFG,1975,,,,,,0.717289063404519,,12689164.0,South Asia,Low income
Afghanistan,AFG,1976,,,,,,0.903404514913898,,12943093.0,South Asia,Low income
Afghanistan,AFG,1977,,,,,,0.907900497114177,,13171294.0,South Asia,Low income
Afghanistan,AFG,1978,,,,,,0.767734063774124,,13341199.0,South Asia,Low income
Afghanistan,AFG,1979,,,,,,1.22340041814487,,13411060.0,South Asia,Low income
Afghanistan,AFG,1980,,,,,,1.27751797904397,,13356500.0,South Asia,Low income
Afghanistan,AFG,1981,,,,,,1.00301451328513,,13171679.0,South Asia,Low income
Afghanistan,AFG,1982,,,,,,,,12882518.0,South Asia,Low income
Afghanistan,AFG,1983,,,,,,,,12537732.0,South Asia,Low income
Afghanistan,AFG,1984,,,,,,,,12204306.0,South Asia,Low income
Afghanistan,AFG,1985,,,,,,,,11938204.0,South Asia,Low income
Afghanistan,AFG,1986,,,,,,,,11736177.0,South Asia,Low income
Afghanistan,AFG,1987,,,,,,,,11604538.0,South Asia,Low income
Afghanistan,AFG,1988,,,,,,,,11618008.0,South Asia,Low income
Afghanistan,AFG,1989,,,,,,,,11868873.0,South Asia,Low income
Afghanistan,AFG,1990,1.88411277331996,,,,15.9245316828932,,,12412311.0,South Asia,Low income
Afghanistan,AFG,1991,1.99591306318908,,,,17.0364435282942,,,13299016.0,South Asia,Low income
Afghanistan,AFG,1992,1.33250174740999,,,,26.5216286544368,,,14485543.0,South Asia,Low income
Afghanistan,AFG,1993,1.76063654184963,,,,30.5856670489932,,,15816601.0,South Asia,Low income
Afghanistan,AFG,1994,2.24561299646338,,,,32.7962505504008,,,17075728.0,South Asia,Low income
Afghanistan,AFG,1995,1.48569193557955,,,,35.0756402917937,,,18110662.0,South Asia,Low income
Afghanistan,AFG,1996,1.54847691566463,,,,37.9457475001443,,,18853444.0,South Asia,Low income
